股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
002371.SZ,北方华创,294.68,0.57,19.58,103866303.00,33225791666.67,"1,514",--
600079.SH,人福医药,16.16,0.19,19.50,299564427.00,5143521211.59,415,--
688621.SH,阳光诺和,29.55,-1.70,19.50,21838287.00,932494854.90,123,--
832651.BJ,天罡股份,11.21,3.80,19.48,2975427.00,41536960.92,7,--
600522.SH,中天科技,13.42,1.67,19.36,660882161.00,10474982251.85,792,--
430418.BJ,苏轴股份,13.30,-1.19,19.35,13856728.00,183740213.28,35,--
301033.SZ,迈普医学,38.35,-0.08,19.35,7391570.00,289084302.70,104,--
688521.SH,芯原股份,25.04,-0.83,19.34,94877399.00,2537970423.25,184,--
002409.SZ,雅克科技,49.85,0.69,19.34,61589353.00,3874586197.23,443,--
001215.SZ,千味央厨,21.42,-2.46,19.34,8846197.00,249867123.41,95,--
002568.SZ,百润股份,16.34,1.11,19.32,138606334.00,2332744601.22,215,--
688606.SH,奥泰生物,56.17,-2.67,19.32,7640108.00,360078290.04,63,--
002821.SZ,凯莱英,62.77,-1.74,19.30,63414300.00,4172661005.80,291,--
603816.SH,顾家家居,21.67,-0.60,19.29,158579108.00,5120519397.32,447,--
688777.SH,中控技术,38.48,0.10,19.20,149364257.00,5631032488.90,396,--
000568.SZ,泸州老窖,100.02,-0.79,19.12,280584996.00,40261141076.04,"1,138",--
300012.SZ,华测检测,10.31,-0.10,19.12,273759340.00,2754018960.40,226,--
688582.SH,芯动联科,34.00,0.59,19.07,9460702.00,266413368.32,158,--
688575.SH,亚辉龙,21.22,-0.24,19.06,113138925.00,2638399731.00,257,--
600114.SH,东睦股份,14.02,-1.68,19.00,117115875.00,1685297441.25,299,--
600976.SH,健民集团,40.96,0.89,18.97,29051625.00,1467107062.50,182,--
300487.SZ,蓝晓科技,42.03,2.79,18.94,57605422.00,2405602422.72,240,--
301122.SZ,采纳股份,14.88,-4.19,18.93,8375192.00,157704865.36,62,--
002991.SZ,甘源食品,48.80,-1.16,18.92,9398960.00,570046924.00,187,--
300577.SZ,开润股份,20.36,1.80,18.86,26490700.00,551801281.00,78,--
002475.SZ,立讯精密,35.90,-3.37,18.80,1351134863.00,53113111464.53,"2,224",--
000733.SZ,振华科技,32.74,-0.85,18.79,104039202.00,4320748059.06,260,--
301261.SZ,恒工精密,31.77,-0.72,18.76,3923789.00,145454858.23,152,--
600861.SH,北京人力,13.14,-2.23,18.66,59118614.00,964815780.48,122,--
002179.SZ,中航光电,37.06,0.30,18.62,384288834.00,14622190133.70,789,--
600399.SH,抚顺特钢,5.00,-1.77,18.61,367097398.00,2066758350.74,205,--
002940.SZ,昂利康,12.26,-2.78,18.57,34405643.00,498193710.64,39,--
301239.SZ,普瑞眼科,28.83,-0.93,18.57,13143107.00,464345970.31,145,--
002154.SZ,报喜鸟,3.21,0.31,18.54,218696492.00,1189708916.48,221,--
603882.SH,金域医学,26.76,-3.04,18.49,86119504.00,2341589313.76,272,--
002318.SZ,久立特材,19.17,0.68,18.45,176135439.00,4109239791.87,417,--
600129.SH,太极集团,20.24,0.55,18.33,102071563.00,2951909601.96,360,--
001283.SZ,豪鹏科技,31.86,-0.96,18.33,10582750.00,451784008.31,55,--
688190.SH,云路股份,60.80,0.02,18.32,11141733.00,830386211.92,120,--
300122.SZ,智飞生物,20.65,-0.15,18.30,260628775.00,7305424563.25,585,--
688486.SH,龙迅股份,42.81,4.11,18.27,10215489.00,585347519.70,118,--
300253.SZ,卫宁健康,5.19,-0.77,18.19,338673516.00,1998173744.40,326,--
300832.SZ,新产业,69.86,0.63,18.08,123000871.00,8295178740.24,552,--
600988.SH,赤峰黄金,17.00,-1.56,18.06,300570700.00,4911325238.00,551,--
002410.SZ,广联达,9.01,-0.55,18.06,286819556.00,2747731346.48,383,--
688488.SH,艾迪药业,6.90,-3.77,18.03,75876974.00,775462674.28,152,--
301179.SZ,泽宇智能,14.80,0.00,17.98,15040350.00,292685211.00,97,--
002048.SZ,宁波华翔,12.13,1.08,17.96,93797463.00,1213739171.22,214,--
601028.SH,玉龙股份,12.10,-1.55,17.95,140589625.00,1757370312.50,216,--
688126.SH,沪硅产业,13.29,-2.64,17.93,487711805.00,6735300027.05,247,--
688234.SH,天岳先进,47.38,-0.84,17.87,47250658.00,2217000920.28,281,--
