ts_code,symbol,name,industry,market,list_date,circ_mv
002662.SZ,002662,京威股份,汽车配件,主板,2012-03-09,403494.9159
002664.SZ,002664,信质集团,汽车配件,主板,2012-03-16,465612.0381
002668.SZ,002668,TCL智家,家用电器,主板,2012-04-16,1001718.9595
002670.SZ,002670,国盛金控,证券,主板,2012-04-16,1477249.0769
002673.SZ,002673,西部证券,证券,主板,2012-05-03,2646321.3276
002675.SZ,002675,东诚药业,化学制药,主板,2012-05-25,886061.578
002677.SZ,002677,浙江美大,家用电器,主板,2012-05-25,395034.606
002678.SZ,002678,珠江钢琴,文教休闲,主板,2012-05-30,491441.9502
002681.SZ,002681,奋达科技,元器件,主板,2012-06-05,630665.0646
002683.SZ,002683,广东宏大,化工原料,主板,2012-06-12,1322751.5396
002685.SZ,002685,华东重机,机床制造,主板,2012-06-12,323425.5774
002690.SZ,002690,美亚光电,专用机械,主板,2012-07-31,550477.8079
